inventory_id,product_id,warehouse_id,snapshot_date,quantity_on_hand,stock_ratio,anomaly_score,is_anomaly,anomaly_label
13,PRD001,WH03,2024-01-07,279,0.4626865671641791,0.0593,0,Normal
28,PRD001,WH05,2024-01-07,442,0.7330016583747927,0.0696,0,Normal
140,PRD001,WH08,2024-01-21,251,0.41625207296849087,0.0551,0,Normal
209,PRD001,WH03,2024-02-04,317,0.5257048092868989,0.0755,0,Normal
239,PRD001,WH08,2024-02-04,603,1.0,0.0236,0,Normal
261,PRD001,WH04,2024-02-11,440,0.7296849087893864,0.0536,0,Normal
301,PRD001,WH03,2024-02-18,230,0.3814262023217247,0.0556,0,Normal
330,PRD001,WH07,2024-02-18,284,0.4709784411276949,0.0564,0,Normal
551,PRD001,WH04,2024-03-24,252,0.417910447761194,0.0565,0,Normal
953,PRD001,WH07,2024-05-19,276,0.4577114427860697,0.0687,0,Normal
974,PRD001,WH03,2024-05-26,282,0.46766169154228854,0.0489,0,Normal
1124,PRD001,WH04,2024-06-16,502,0.8325041459369817,0.0358,0,Normal
1185,PRD001,WH06,2024-06-23,603,1.0,0.0338,0,Normal
1208,PRD001,WH02,2024-06-30,327,0.5422885572139303,0.0563,0,Normal
1251,PRD001,WH01,2024-07-07,578,0.9585406301824212,0.0456,0,Normal
1368,PRD001,WH04,2024-07-21,492,0.8159203980099502,0.0806,0,Normal
1507,PRD001,WH04,2024-08-11,408,0.6766169154228856,0.03,0,Normal
1551,PRD001,WH03,2024-08-18,351,0.582089552238806,0.059,0,Normal
1628,PRD001,WH08,2024-08-25,556,0.9220563847429519,0.0488,0,Normal
1641,PRD001,WH02,2024-09-01,390,0.6467661691542289,0.0692,0,Normal
1778,PRD001,WH01,2024-09-22,253,0.41956882255389716,0.0292,0,Normal
1850,PRD001,WH05,2024-09-29,437,0.724709784411277,0.0644,0,Normal
1913,PRD001,WH07,2024-10-06,373,0.6185737976782753,0.0481,0,Normal
1933,PRD001,WH03,2024-10-13,461,0.7645107794361525,0.0579,0,Normal
1945,PRD001,WH05,2024-10-13,481,0.7976782752902156,0.0761,0,Normal
2044,PRD001,WH05,2024-10-27,410,0.6799336650082919,0.0805,0,Normal
2078,PRD001,WH03,2024-11-03,502,0.8325041459369817,0.0793,0,Normal
2214,PRD001,WH01,2024-11-24,279,0.4626865671641791,0.0223,0,Normal
2270,PRD001,WH03,2024-12-01,266,0.44112769485903813,0.0752,0,Normal
2310,PRD001,WH01,2024-12-08,409,0.6782752902155887,0.033,0,Normal
2395,PRD001,WH08,2024-12-15,407,0.6749585406301825,0.0274,0,Normal
2465,PRD001,WH03,2024-12-29,561,0.9303482587064676,0.0727,0,Normal
2471,PRD001,WH04,2024-12-29,381,0.6318407960199005,0.0366,0,Normal
47,PRD002,WH08,2024-01-07,722,0.9588313413014609,0.0255,0,Normal
57,PRD002,WH02,2024-01-14,310,0.4116865869853918,0.0495,0,Normal
63,PRD002,WH03,2024-01-14,660,0.8764940239043825,0.0715,0,Normal
146,PRD002,WH01,2024-01-28,456,0.6055776892430279,0.0545,0,Normal
155,PRD002,WH02,2024-01-28,753,1.0,0.0297,0,Normal
166,PRD002,WH04,2024-01-28,694,0.9216467463479415,0.0736,0,Normal
175,PRD002,WH06,2024-01-28,449,0.5962815405046481,0.0849,0,Normal
204,PRD002,WH02,2024-02-04,496,0.6586985391766268,0.0803,0,Normal
215,PRD002,WH04,2024-02-04,460,0.6108897742363878,0.046,0,Normal
286,PRD002,WH08,2024-02-11,59,0.07835325365205843,-0.0279,1,Anomaly
456,PRD002,WH04,2024-03-10,216,0.2868525896414343,0.0497,0,Normal
468,PRD002,WH06,2024-03-10,563,0.747675962815405,0.0778,0,Normal
525,PRD002,WH08,2024-03-17,391,0.5192563081009296,0.0399,0,Normal
533,PRD002,WH01,2024-03-24,578,0.7675962815405046,0.0528,0,Normal
561,PRD002,WH06,2024-03-24,362,0.4807436918990704,0.0714,0,Normal
705,PRD002,WH06,2024-04-14,753,1.0,0.0327,0,Normal
886,PRD002,WH04,2024-05-12,753,1.0,0.0065,0,Normal
1027,PRD002,WH04,2024-06-02,318,0.42231075697211157,0.0717,0,Normal
1125,PRD002,WH04,2024-06-16,346,0.4594953519256308,0.067,0,Normal
1158,PRD002,WH01,2024-06-23,276,0.3665338645418327,0.0108,0,Normal
1172,PRD002,WH04,2024-06-23,434,0.5763612217795485,0.064,0,Normal
1190,PRD002,WH07,2024-06-23,131,0.17397078353253653,0.0224,0,Normal
1225,PRD002,WH05,2024-06-30,593,0.7875166002656042,0.0806,0,Normal
1272,PRD002,WH04,2024-07-07,483,0.6414342629482072,0.0856,0,Normal
1279,PRD002,WH06,2024-07-07,239,0.31739707835325365,0.0331,0,Normal
1548,PRD002,WH02,2024-08-18,403,0.5351925630810093,0.0551,0,Normal
1556,PRD002,WH04,2024-08-18,430,0.5710491367861886,0.0609,0,Normal
1607,PRD002,WH04,2024-08-25,478,0.6347941567065073,0.0831,0,Normal
1611,PRD002,WH05,2024-08-25,365,0.4847277556440903,0.067,0,Normal
1656,PRD002,WH04,2024-09-01,470,0.6241699867197875,0.0863,0,Normal
1761,PRD002,WH06,2024-09-15,474,0.6294820717131474,0.0778,0,Normal
1770,PRD002,WH07,2024-09-15,353,0.46879150066401065,0.0559,0,Normal
1804,PRD002,WH05,2024-09-22,522,0.6932270916334662,0.0657,0,Normal
1854,PRD002,WH05,2024-09-29,675,0.896414342629482,0.0595,0,Normal
1869,PRD002,WH08,2024-09-29,347,0.46082337317397076,0.0592,0,Normal
1930,PRD002,WH02,2024-10-13,217,0.28818061088977426,0.0085,0,Normal
1960,PRD002,WH07,2024-10-13,604,0.8021248339973439,0.0687,0,Normal
2024,PRD002,WH02,2024-10-27,6,0.00796812749003984,-0.0344,1,Anomaly
2105,PRD002,WH07,2024-11-03,753,1.0,0.0354,0,Normal
2225,PRD002,WH03,2024-11-24,356,0.47277556440903057,0.0597,0,Normal
