inventory_id,product_id,warehouse_id,snapshot_date,quantity_on_hand,quantity_reserved,quantity_in_transit,reorder_triggered,last_updated
1,PRD043,WH01,2024-01-07,578,29,175,0,2024-01-07 00:00:00
2,PRD042,WH01,2024-01-07,1126,196,84,0,2024-01-07 00:00:00
3,PRD020,WH01,2024-01-07,537,87,100,0,2024-01-07 00:00:00
4,PRD030,WH01,2024-01-07,1425,99,22,0,2024-01-07 00:00:00
5,PRD021,WH01,2024-01-07,889,140,137,0,2024-01-07 00:00:00
6,PRD005,WH01,2024-01-07,1769,267,146,0,2024-01-07 00:00:00
7,PRD009,WH02,2024-01-07,717,58,68,0,2024-01-07 00:00:00
8,PRD023,WH02,2024-01-07,652,141,3,0,2024-01-07 00:00:00
9,PRD005,WH02,2024-01-07,1796,342,1,0,2024-01-07 00:00:00
10,PRD016,WH02,2024-01-07,732,126,127,0,2024-01-07 00:00:00
11,PRD024,WH02,2024-01-07,771,190,139,0,2024-01-07 00:00:00
12,PRD019,WH02,2024-01-07,1271,229,177,0,2024-01-07 00:00:00
13,PRD001,WH03,2024-01-07,279,66,188,0,2024-01-07 00:00:00
14,PRD043,WH03,2024-01-07,670,51,178,0,2024-01-07 00:00:00
15,PRD036,WH03,2024-01-07,830,60,64,0,2024-01-07 00:00:00
16,PRD020,WH03,2024-01-07,1364,97,160,0,2024-01-07 00:00:00
17,PRD049,WH03,2024-01-07,733,117,28,0,2024-01-07 00:00:00
18,PRD007,WH03,2024-01-07,1661,173,140,0,2024-01-07 00:00:00
19,PRD039,WH04,2024-01-07,854,151,34,0,2024-01-07 00:00:00
20,PRD014,WH04,2024-01-07,238,24,80,0,2024-01-07 00:00:00
21,PRD046,WH04,2024-01-07,465,68,89,0,2024-01-07 00:00:00
22,PRD022,WH04,2024-01-07,814,188,161,0,2024-01-07 00:00:00
23,PRD049,WH04,2024-01-07,1412,309,57,0,2024-01-07 00:00:00
24,PRD044,WH04,2024-01-07,308,21,113,0,2024-01-07 00:00:00
25,PRD028,WH05,2024-01-07,1657,293,163,0,2024-01-07 00:00:00
26,PRD018,WH05,2024-01-07,1454,148,20,0,2024-01-07 00:00:00
27,PRD003,WH05,2024-01-07,1087,215,100,0,2024-01-07 00:00:00
28,PRD001,WH05,2024-01-07,442,70,151,0,2024-01-07 00:00:00
29,PRD022,WH05,2024-01-07,150,20,95,0,2024-01-07 00:00:00
30,PRD009,WH05,2024-01-07,377,19,151,0,2024-01-07 00:00:00
31,PRD005,WH06,2024-01-07,1552,258,11,0,2024-01-07 00:00:00
32,PRD045,WH06,2024-01-07,434,34,112,0,2024-01-07 00:00:00
33,PRD010,WH06,2024-01-07,1193,90,98,0,2024-01-07 00:00:00
34,PRD035,WH06,2024-01-07,573,63,104,0,2024-01-07 00:00:00
35,PRD003,WH06,2024-01-07,1358,312,83,0,2024-01-07 00:00:00
36,PRD024,WH06,2024-01-07,0,0,111,1,2024-01-07 00:00:00
37,PRD003,WH07,2024-01-07,343,24,18,0,2024-01-07 00:00:00
38,PRD023,WH07,2024-01-07,444,91,176,0,2024-01-07 00:00:00
39,PRD014,WH07,2024-01-07,411,93,27,0,2024-01-07 00:00:00
40,PRD044,WH07,2024-01-07,1330,174,127,0,2024-01-07 00:00:00
41,PRD016,WH07,2024-01-07,263,45,143,0,2024-01-07 00:00:00
42,PRD043,WH07,2024-01-07,0,0,116,1,2024-01-07 00:00:00
43,PRD016,WH08,2024-01-07,749,147,179,0,2024-01-07 00:00:00
44,PRD011,WH08,2024-01-07,798,92,122,0,2024-01-07 00:00:00
45,PRD012,WH08,2024-01-07,395,93,180,0,2024-01-07 00:00:00
46,PRD027,WH08,2024-01-07,951,200,41,0,2024-01-07 00:00:00
47,PRD002,WH08,2024-01-07,722,160,75,0,2024-01-07 00:00:00
48,PRD048,WH08,2024-01-07,1042,221,8,0,2024-01-07 00:00:00
49,PRD018,WH01,2024-01-14,1628,360,6,0,2024-01-14 00:00:00
50,PRD011,WH01,2024-01-14,1882,177,173,0,2024-01-14 00:00:00
51,PRD045,WH01,2024-01-14,302,64,177,0,2024-01-14 00:00:00
52,PRD007,WH01,2024-01-14,1453,206,26,0,2024-01-14 00:00:00
53,PRD025,WH01,2024-01-14,665,73,164,0,2024-01-14 00:00:00
54,PRD003,WH01,2024-01-14,1171,244,165,0,2024-01-14 00:00:00
55,PRD015,WH02,2024-01-14,1450,167,70,0,2024-01-14 00:00:00
56,PRD050,WH02,2024-01-14,996,221,44,0,2024-01-14 00:00:00
57,PRD002,WH02,2024-01-14,310,75,158,0,2024-01-14 00:00:00
58,PRD043,WH02,2024-01-14,912,96,18,0,2024-01-14 00:00:00
59,PRD013,WH02,2024-01-14,1329,236,90,0,2024-01-14 00:00:00
60,PRD026,WH02,2024-01-14,854,110,89,0,2024-01-14 00:00:00
61,PRD035,WH03,2024-01-14,364,60,172,0,2024-01-14 00:00:00
62,PRD022,WH03,2024-01-14,133,32,140,0,2024-01-14 00:00:00
63,PRD002,WH03,2024-01-14,660,38,147,0,2024-01-14 00:00:00
64,PRD008,WH03,2024-01-14,258,43,199,0,2024-01-14 00:00:00
65,PRD017,WH03,2024-01-14,1257,149,0,0,2024-01-14 00:00:00
66,PRD012,WH03,2024-01-14,340,70,130,0,2024-01-14 00:00:00
67,PRD028,WH04,2024-01-14,1459,128,190,0,2024-01-14 00:00:00
68,PRD039,WH04,2024-01-14,1140,67,112,0,2024-01-14 00:00:00
69,PRD033,WH04,2024-01-14,1319,180,116,0,2024-01-14 00:00:00
70,PRD008,WH04,2024-01-14,564,86,133,0,2024-01-14 00:00:00
71,PRD025,WH04,2024-01-14,210,44,79,0,2024-01-14 00:00:00
72,PRD037,WH04,2024-01-14,1929,361,117,0,2024-01-14 00:00:00
73,PRD048,WH05,2024-01-14,1187,75,184,0,2024-01-14 00:00:00
74,PRD050,WH05,2024-01-14,694,126,145,0,2024-01-14 00:00:00
75,PRD043,WH05,2024-01-14,529,61,142,0,2024-01-14 00:00:00
76,PRD013,WH05,2024-01-14,932,105,158,0,2024-01-14 00:00:00
77,PRD024,WH05,2024-01-14,831,182,11,0,2024-01-14 00:00:00
78,PRD028,WH05,2024-01-14,877,170,73,0,2024-01-14 00:00:00
79,PRD020,WH06,2024-01-14,1658,216,7,0,2024-01-14 00:00:00
80,PRD033,WH06,2024-01-14,882,96,121,0,2024-01-14 00:00:00
81,PRD050,WH06,2024-01-14,1160,87,185,0,2024-01-14 00:00:00
82,PRD043,WH06,2024-01-14,344,46,59,0,2024-01-14 00:00:00
83,PRD027,WH06,2024-01-14,609,144,40,0,2024-01-14 00:00:00
84,PRD021,WH06,2024-01-14,1059,196,191,0,2024-01-14 00:00:00
85,PRD012,WH07,2024-01-14,378,81,160,0,2024-01-14 00:00:00
86,PRD040,WH07,2024-01-14,567,62,156,0,2024-01-14 00:00:00
87,PRD037,WH07,2024-01-14,1464,134,196,0,2024-01-14 00:00:00
88,PRD020,WH07,2024-01-14,1198,248,46,0,2024-01-14 00:00:00
89,PRD026,WH07,2024-01-14,563,96,4,0,2024-01-14 00:00:00
90,PRD036,WH07,2024-01-14,1008,115,118,0,2024-01-14 00:00:00
91,PRD029,WH08,2024-01-14,2209,461,145,0,2024-01-14 00:00:00
92,PRD050,WH08,2024-01-14,1011,244,176,0,2024-01-14 00:00:00
93,PRD044,WH08,2024-01-14,1477,291,85,0,2024-01-14 00:00:00
94,PRD014,WH08,2024-01-14,357,64,58,0,2024-01-14 00:00:00
95,PRD033,WH08,2024-01-14,1429,152,97,0,2024-01-14 00:00:00
96,PRD031,WH08,2024-01-14,732,133,104,0,2024-01-14 00:00:00
97,PRD040,WH01,2024-01-21,277,26,54,0,2024-01-21 00:00:00
98,PRD022,WH01,2024-01-21,385,34,5,0,2024-01-21 00:00:00
99,PRD006,WH01,2024-01-21,1420,77,132,0,2024-01-21 00:00:00
100,PRD016,WH01,2024-01-21,1287,127,101,0,2024-01-21 00:00:00
101,PRD044,WH01,2024-01-21,1020,147,52,0,2024-01-21 00:00:00
102,PRD020,WH01,2024-01-21,1252,275,164,0,2024-01-21 00:00:00
103,PRD005,WH02,2024-01-21,1032,199,84,0,2024-01-21 00:00:00
104,PRD030,WH02,2024-01-21,2363,299,77,0,2024-01-21 00:00:00
105,PRD027,WH02,2024-01-21,644,83,172,0,2024-01-21 00:00:00
106,PRD041,WH02,2024-01-21,472,37,3,0,2024-01-21 00:00:00
107,PRD037,WH02,2024-01-21,2001,375,31,0,2024-01-21 00:00:00
108,PRD013,WH02,2024-01-21,671,153,33,0,2024-01-21 00:00:00
109,PRD050,WH03,2024-01-21,816,125,153,0,2024-01-21 00:00:00
110,PRD007,WH03,2024-01-21,1180,70,161,0,2024-01-21 00:00:00
111,PRD028,WH03,2024-01-21,1840,183,49,0,2024-01-21 00:00:00
112,PRD015,WH03,2024-01-21,936,205,11,0,2024-01-21 00:00:00
113,PRD012,WH03,2024-01-21,370,52,150,0,2024-01-21 00:00:00
114,PRD045,WH03,2024-01-21,516,108,84,0,2024-01-21 00:00:00
115,PRD043,WH04,2024-01-21,868,149,102,0,2024-01-21 00:00:00
116,PRD034,WH04,2024-01-21,1679,325,165,0,2024-01-21 00:00:00
117,PRD036,WH04,2024-01-21,757,114,49,0,2024-01-21 00:00:00
118,PRD039,WH04,2024-01-21,1122,242,97,0,2024-01-21 00:00:00
119,PRD021,WH04,2024-01-21,1298,207,178,0,2024-01-21 00:00:00
120,PRD029,WH04,2024-01-21,2585,593,190,0,2024-01-21 00:00:00
121,PRD048,WH05,2024-01-21,1027,108,78,0,2024-01-21 00:00:00
122,PRD031,WH05,2024-01-21,1008,207,29,0,2024-01-21 00:00:00
123,PRD029,WH05,2024-01-21,1948,286,132,0,2024-01-21 00:00:00
124,PRD017,WH05,2024-01-21,1261,123,28,0,2024-01-21 00:00:00
125,PRD016,WH05,2024-01-21,149,20,68,0,2024-01-21 00:00:00
126,PRD041,WH05,2024-01-21,692,133,33,0,2024-01-21 00:00:00
127,PRD016,WH06,2024-01-21,206,16,125,0,2024-01-21 00:00:00
128,PRD018,WH06,2024-01-21,1966,189,42,0,2024-01-21 00:00:00
129,PRD022,WH06,2024-01-21,480,90,150,0,2024-01-21 00:00:00
130,PRD021,WH06,2024-01-21,978,187,182,0,2024-01-21 00:00:00
131,PRD035,WH06,2024-01-21,227,14,143,0,2024-01-21 00:00:00
132,PRD006,WH06,2024-01-21,2093,275,7,0,2024-01-21 00:00:00
133,PRD035,WH07,2024-01-21,534,68,24,0,2024-01-21 00:00:00
134,PRD030,WH07,2024-01-21,907,184,194,0,2024-01-21 00:00:00
135,PRD027,WH07,2024-01-21,881,210,159,0,2024-01-21 00:00:00
136,PRD004,WH07,2024-01-21,494,26,177,0,2024-01-21 00:00:00
137,PRD014,WH07,2024-01-21,218,49,20,0,2024-01-21 00:00:00
138,PRD048,WH07,2024-01-21,1075,177,4,0,2024-01-21 00:00:00
139,PRD031,WH08,2024-01-21,433,68,21,0,2024-01-21 00:00:00
140,PRD001,WH08,2024-01-21,251,49,148,0,2024-01-21 00:00:00
141,PRD023,WH08,2024-01-21,1061,222,11,0,2024-01-21 00:00:00
142,PRD020,WH08,2024-01-21,1658,380,89,0,2024-01-21 00:00:00
143,PRD025,WH08,2024-01-21,427,63,25,0,2024-01-21 00:00:00
144,PRD027,WH08,2024-01-21,473,49,46,0,2024-01-21 00:00:00
145,PRD032,WH01,2024-01-28,1009,211,93,0,2024-01-28 00:00:00
146,PRD002,WH01,2024-01-28,456,88,106,0,2024-01-28 00:00:00
147,PRD025,WH01,2024-01-28,1087,237,112,0,2024-01-28 00:00:00
148,PRD022,WH01,2024-01-28,381,89,98,0,2024-01-28 00:00:00
149,PRD043,WH01,2024-01-28,517,127,126,0,2024-01-28 00:00:00
150,PRD044,WH01,2024-01-28,740,116,55,0,2024-01-28 00:00:00
151,PRD026,WH02,2024-01-28,969,173,77,0,2024-01-28 00:00:00
152,PRD038,WH02,2024-01-28,720,55,129,0,2024-01-28 00:00:00
153,PRD037,WH02,2024-01-28,2091,297,110,0,2024-01-28 00:00:00
154,PRD043,WH02,2024-01-28,421,25,150,0,2024-01-28 00:00:00
155,PRD002,WH02,2024-01-28,753,94,17,0,2024-01-28 00:00:00
156,PRD006,WH02,2024-01-28,1872,172,37,0,2024-01-28 00:00:00
157,PRD021,WH03,2024-01-28,433,93,118,0,2024-01-28 00:00:00
158,PRD022,WH03,2024-01-28,544,78,27,0,2024-01-28 00:00:00
159,PRD025,WH03,2024-01-28,609,121,43,0,2024-01-28 00:00:00
160,PRD018,WH03,2024-01-28,662,39,24,0,2024-01-28 00:00:00
161,PRD027,WH03,2024-01-28,940,225,67,0,2024-01-28 00:00:00
162,PRD017,WH03,2024-01-28,1527,144,137,0,2024-01-28 00:00:00
163,PRD005,WH04,2024-01-28,1433,312,110,0,2024-01-28 00:00:00
164,PRD042,WH04,2024-01-28,1029,179,110,0,2024-01-28 00:00:00
165,PRD003,WH04,2024-01-28,1250,122,167,0,2024-01-28 00:00:00
166,PRD002,WH04,2024-01-28,694,100,112,0,2024-01-28 00:00:00
167,PRD016,WH04,2024-01-28,53,3,100,1,2024-01-28 00:00:00
168,PRD013,WH04,2024-01-28,1675,401,5,0,2024-01-28 00:00:00
169,PRD030,WH05,2024-01-28,1638,280,186,0,2024-01-28 00:00:00
170,PRD045,WH05,2024-01-28,414,82,183,0,2024-01-28 00:00:00
171,PRD017,WH05,2024-01-28,156,11,120,1,2024-01-28 00:00:00
172,PRD024,WH05,2024-01-28,500,106,32,0,2024-01-28 00:00:00
173,PRD011,WH05,2024-01-28,1098,266,93,0,2024-01-28 00:00:00
174,PRD039,WH05,2024-01-28,71,5,74,1,2024-01-28 00:00:00
175,PRD002,WH06,2024-01-28,449,106,74,0,2024-01-28 00:00:00
176,PRD020,WH06,2024-01-28,1286,115,3,0,2024-01-28 00:00:00
177,PRD037,WH06,2024-01-28,2699,454,61,0,2024-01-28 00:00:00
178,PRD044,WH06,2024-01-28,929,200,184,0,2024-01-28 00:00:00
179,PRD025,WH06,2024-01-28,907,89,25,0,2024-01-28 00:00:00
180,PRD026,WH06,2024-01-28,921,174,178,0,2024-01-28 00:00:00
181,PRD020,WH07,2024-01-28,831,99,153,0,2024-01-28 00:00:00
182,PRD044,WH07,2024-01-28,1145,155,117,0,2024-01-28 00:00:00
183,PRD039,WH07,2024-01-28,689,85,19,0,2024-01-28 00:00:00
184,PRD008,WH07,2024-01-28,987,149,112,0,2024-01-28 00:00:00
185,PRD037,WH07,2024-01-28,2732,323,141,0,2024-01-28 00:00:00
186,PRD003,WH07,2024-01-28,1187,261,63,0,2024-01-28 00:00:00
187,PRD032,WH08,2024-01-28,1530,292,99,0,2024-01-28 00:00:00
188,PRD007,WH08,2024-01-28,873,119,76,0,2024-01-28 00:00:00
189,PRD028,WH08,2024-01-28,902,177,177,0,2024-01-28 00:00:00
190,PRD024,WH08,2024-01-28,515,125,9,0,2024-01-28 00:00:00
191,PRD041,WH08,2024-01-28,1314,136,129,0,2024-01-28 00:00:00
192,PRD030,WH08,2024-01-28,2766,585,12,0,2024-01-28 00:00:00
193,PRD035,WH01,2024-02-04,383,43,62,0,2024-02-04 00:00:00
194,PRD031,WH01,2024-02-04,728,72,100,0,2024-02-04 00:00:00
195,PRD030,WH01,2024-02-04,2777,657,162,0,2024-02-04 00:00:00
196,PRD028,WH01,2024-02-04,925,97,93,0,2024-02-04 00:00:00
197,PRD038,WH01,2024-02-04,640,89,116,0,2024-02-04 00:00:00
198,PRD018,WH01,2024-02-04,2136,427,119,0,2024-02-04 00:00:00
199,PRD037,WH02,2024-02-04,1973,293,63,0,2024-02-04 00:00:00
200,PRD040,WH02,2024-02-04,540,62,149,0,2024-02-04 00:00:00
201,PRD043,WH02,2024-02-04,739,109,59,0,2024-02-04 00:00:00
202,PRD025,WH02,2024-02-04,1038,125,29,0,2024-02-04 00:00:00
203,PRD022,WH02,2024-02-04,417,42,82,0,2024-02-04 00:00:00
204,PRD002,WH02,2024-02-04,496,52,122,0,2024-02-04 00:00:00
205,PRD039,WH03,2024-02-04,1435,343,88,0,2024-02-04 00:00:00
206,PRD045,WH03,2024-02-04,361,24,41,0,2024-02-04 00:00:00
207,PRD018,WH03,2024-02-04,1963,380,38,0,2024-02-04 00:00:00
208,PRD036,WH03,2024-02-04,574,84,103,0,2024-02-04 00:00:00
209,PRD001,WH03,2024-02-04,317,63,165,0,2024-02-04 00:00:00
210,PRD034,WH03,2024-02-04,8,1,96,1,2024-02-04 00:00:00
211,PRD042,WH04,2024-02-04,668,72,152,0,2024-02-04 00:00:00
212,PRD046,WH04,2024-02-04,1612,210,144,0,2024-02-04 00:00:00
213,PRD032,WH04,2024-02-04,1346,132,52,0,2024-02-04 00:00:00
214,PRD029,WH04,2024-02-04,1849,337,103,0,2024-02-04 00:00:00
215,PRD002,WH04,2024-02-04,460,56,197,0,2024-02-04 00:00:00
216,PRD006,WH04,2024-02-04,332,53,133,0,2024-02-04 00:00:00
217,PRD023,WH05,2024-02-04,947,180,41,0,2024-02-04 00:00:00
218,PRD028,WH05,2024-02-04,790,82,191,0,2024-02-04 00:00:00
219,PRD048,WH05,2024-02-04,1471,147,154,0,2024-02-04 00:00:00
220,PRD036,WH05,2024-02-04,687,50,163,0,2024-02-04 00:00:00
221,PRD022,WH05,2024-02-04,696,61,32,0,2024-02-04 00:00:00
222,PRD050,WH05,2024-02-04,1611,119,195,0,2024-02-04 00:00:00
223,PRD035,WH06,2024-02-04,660,130,122,0,2024-02-04 00:00:00
224,PRD049,WH06,2024-02-04,1674,176,73,0,2024-02-04 00:00:00
225,PRD045,WH06,2024-02-04,431,72,158,0,2024-02-04 00:00:00
226,PRD012,WH06,2024-02-04,376,75,46,0,2024-02-04 00:00:00
227,PRD013,WH06,2024-02-04,1776,300,4,0,2024-02-04 00:00:00
228,PRD014,WH06,2024-02-04,404,99,156,0,2024-02-04 00:00:00
229,PRD013,WH07,2024-02-04,1533,80,129,0,2024-02-04 00:00:00
230,PRD019,WH07,2024-02-04,633,99,154,0,2024-02-04 00:00:00
231,PRD015,WH07,2024-02-04,1546,162,35,0,2024-02-04 00:00:00
232,PRD024,WH07,2024-02-04,733,179,25,0,2024-02-04 00:00:00
233,PRD012,WH07,2024-02-04,346,55,10,0,2024-02-04 00:00:00
234,PRD020,WH07,2024-02-04,554,104,73,0,2024-02-04 00:00:00
235,PRD009,WH08,2024-02-04,383,40,22,0,2024-02-04 00:00:00
236,PRD041,WH08,2024-02-04,502,73,46,0,2024-02-04 00:00:00
237,PRD032,WH08,2024-02-04,2116,249,140,0,2024-02-04 00:00:00
238,PRD007,WH08,2024-02-04,537,130,103,0,2024-02-04 00:00:00
239,PRD001,WH08,2024-02-04,603,60,110,0,2024-02-04 00:00:00
